Date,Close,Open,High,Low,Volume,Change
2012-12-28,7699.5,7700.87,7708.31,7665.04,1980000.0,0.0067
2013-01-02,7779.22,7738.05,7793.48,7715.26,2190000.0,0.0104
2013-01-03,7836.84,7826.34,7855.16,7815.29,2960000.0,0.0074
2013-01-04,7805.99,7818.27,7818.27,7773.06,2700000.0,-0.0039000000000000003
2013-01-07,7755.09,7797.05,7797.05,7725.47,2420000.0,-0.006500000000000001
2013-01-08,7721.66,7737.07,7751.8,7692.98,2210000.0,-0.0043
2013-01-09,7738.64,7726.4,7763.97,7703.23,2470000.0,0.0022
2013-01-10,7811.64,7780.98,7825.06,7760.09,3320000.0,0.009399999999999999
2013-01-11,7819.15,7843.57,7845.36,7801.69,2410000.0,0.001
2013-01-14,7823.97,7795.68,7823.97,7731.32,2140000.0,0.0006
2013-01-15,7765.02,7823.51,7823.51,7744.39,2520000.0,-0.0075
2013-01-16,7700.43,7766.09,7769.18,7700.43,2270000.0,-0.0083
2013-01-17,7616.64,7748.57,7774.97,7603.27,2930000.0,-0.0109
2013-01-18,7732.87,7697.28,7732.87,7676.11,2110000.0,0.015300000000000001
2013-01-21,7724.92,7725.36,7739.37,7674.18,1520000.0,-0.001
2013-01-22,7759.1,7746.79,7759.47,7699.25,1580000.0,0.0044
2013-01-23,7744.18,7773.2,7773.2,7730.1,1660000.0,-0.0019
2013-01-24,7695.99,7717.04,7724.68,7653.62,1860000.0,-0.0062
2013-01-25,7672.58,7695.25,7704.31,7637.2,1700000.0,-0.003
2013-01-28,7714.67,7685.67,7717.35,7685.67,1600000.0,0.0055000000000000005
2013-01-29,7802.0,7744.15,7802.0,7739.6,1900000.0,0.0113
2013-01-30,7832.98,7832.95,7847.21,7804.71,2250000.0,0.004
2013-01-31,7850.02,7832.87,7850.02,7800.9,2120000.0,0.0022
2013-02-01,7855.97,7853.75,7866.23,7832.0,1840000.0,0.0008
2013-02-04,7923.16,7882.76,7929.97,7880.29,2680000.0,0.0086
2013-02-05,7886.94,7896.67,7896.67,7863.91,2320000.0,-0.0046
2013-02-06,7906.65,7925.26,7941.65,7906.65,2550000.0,0.0025
2013-02-18,7943.53,8000.69,8005.73,7927.95,2580000.0,0.004699999999999999
2013-02-19,7960.88,7974.4,7974.4,7946.09,2310000.0,0.0022
2013-02-20,8029.1,8021.31,8029.1,7995.16,2990000.0,0.0086
2013-02-21,7957.46,8020.52,8020.52,7957.46,2240000.0,-0.0089
2013-02-22,7947.72,7947.88,7970.24,7913.16,2310000.0,-0.0012
2013-02-23,7986.89,7979.15,7997.94,7965.89,1840000.0,0.0049
2013-02-25,7947.68,7986.87,7995.11,7947.68,2140000.0,-0.0049
2013-02-26,7880.9,7891.41,7927.49,7871.23,1920000.0,-0.0084
2013-02-27,7897.98,7886.03,7912.85,7873.29,1920000.0,0.0022
2013-03-01,7964.63,7917.72,7964.63,7917.72,2110000.0,0.0084
2013-03-04,7867.34,7966.22,7966.22,7849.52,2280000.0,-0.012199999999999999
2013-03-05,7932.71,7910.44,7939.85,7882.56,2250000.0,0.0083
2013-03-06,7950.3,7958.11,7982.39,7936.86,2330000.0,0.0022
2013-03-07,7960.51,7950.9,7984.29,7942.37,2260000.0,0.0013
2013-03-08,8015.14,7981.0,8029.14,7981.0,2720000.0,0.0069
2013-03-11,8038.72,8021.88,8089.21,8001.85,2880000.0,0.0029
2013-03-12,7994.71,8039.0,8063.23,7986.59,2740000.0,-0.0055000000000000005
2013-03-13,7995.51,8018.9,8047.56,7962.42,2220000.0,0.0001
2013-03-14,7951.76,8002.42,8002.71,7946.29,2150000.0,-0.0055000000000000005
2013-03-15,7927.49,7989.67,7999.92,7924.94,2530000.0,-0.0031
2013-03-18,7811.34,7886.69,7888.16,7807.61,2029999.9999999998,-0.0147
2013-03-19,7838.47,7843.47,7863.77,7823.81,1800000.0,0.0034999999999999996
2013-03-20,7798.03,7834.73,7844.54,7786.56,1950000.0,-0.0052
2013-03-21,7811.84,7828.95,7843.16,7811.84,1700000.0,0.0018
2013-03-22,7796.22,7811.52,7832.59,7796.22,1730000.0,-0.002
2013-03-25,7856.12,7862.58,7877.05,7854.47,1810000.0,0.0077
2013-03-26,7856.36,7873.7,7876.68,7845.56,1850000.0,0.0
2013-03-27,7894.12,7872.75,7894.26,7857.32,1850000.0,0.0048
2013-03-28,7866.88,7905.71,7905.71,7844.84,1810000.0,-0.0034999999999999996
2013-03-29,7918.61,7904.5,7931.7,7883.81,1590000.0,0.0066
2013-04-01,7899.24,7934.25,7937.73,7896.57,1560000.0,-0.0024
2013-04-02,7913.18,7897.16,7924.46,7879.55,1640000.0,0.0018
2013-04-03,7942.35,7949.12,7954.15,7913.77,1920000.0,0.0037
2013-04-08,7752.79,7831.22,7843.1,7747.47,2560000.0,-0.0239
2013-04-09,7728.54,7766.62,7781.13,7714.93,1890000.0,-0.0031
2013-04-10,7752.8,7772.95,7772.95,7739.99,1740000.0,0.0031
2013-04-11,7857.98,7788.58,7857.98,7788.58,1840000.0,0.013600000000000001
2013-04-12,7821.63,7861.12,7864.86,7810.54,1680000.0,-0.0046
2013-04-15,7763.53,7815.32,7835.12,7753.24,1630000.0,-0.0074
2013-04-16,7801.05,7690.91,7801.05,7688.62,1550000.0,0.0048
2013-04-17,7809.07,7822.81,7822.81,7791.53,1910000.0,0.001
2013-04-18,7791.35,7781.48,7826.13,7757.33,1780000.0,-0.0023
2013-04-19,7930.8,7868.9,7933.72,7862.92,2029999.9999999998,0.0179
2013-04-22,7970.38,7976.1,7996.55,7950.01,1950000.0,0.005
2013-04-23,7942.77,7955.92,7968.79,7913.6,1880000.0,-0.0034999999999999996
2013-04-24,8023.71,7977.4,8025.45,7968.28,2410000.0,0.0102
2013-04-25,8021.75,8015.38,8026.46,7994.19,1940000.0,-0.0002
2013-04-26,8022.06,8034.47,8081.37,8020.47,2230000.0,0.0
2013-04-29,8029.74,8043.71,8046.22,8014.27,1800000.0,0.001
2013-04-30,8093.66,8065.92,8115.59,8065.92,2280000.0,0.008
2013-05-02,8128.51,8111.43,8139.49,8095.7,2150000.0,0.0043
2013-05-03,8135.03,8157.51,8175.33,8121.07,2029999.9999999998,0.0008
2013-05-06,8169.05,8188.48,8197.52,8153.96,1970000.0,0.0042
2013-05-07,8163.06,8177.58,8181.8,8145.1,1870000.0,-0.0007000000000000001
2013-05-08,8267.09,8177.94,8284.09,8177.94,2470000.0,0.0127
2013-05-09,8285.89,8314.37,8322.69,8279.46,2410000.0,0.0023
2013-05-10,8280.26,8284.38,8297.33,8258.62,2270000.0,-0.0007000000000000001
2013-05-13,8248.32,8285.45,8296.54,8230.65,1960000.0,-0.0039000000000000003
2013-05-14,8251.82,8272.2,8295.41,8233.98,1960000.0,0.0004
2013-05-15,8318.59,8264.1,8320.32,8251.51,2300000.0,0.008100000000000001
2013-05-16,8390.05,8362.49,8414.88,8346.45,3450000.0,0.0086
2013-05-17,8368.19,8377.26,8402.34,8356.79,2550000.0,-0.0026
2013-05-20,8377.05,8364.95,8385.68,8347.33,2110000.0,0.0011
2013-05-21,8383.05,8381.36,8420.68,8361.96,2660000.0,0.0007000000000000001
2013-05-22,8398.84,8414.06,8439.15,8376.21,3030000.0,0.0019
2013-05-23,8237.83,8367.85,8373.09,8235.5,3340000.0,-0.0192
2013-05-24,8209.78,8273.21,8277.56,8172.54,2450000.0,-0.0034000000000000002
2013-05-27,8280.1,8218.88,8280.1,8210.32,1890000.0,0.0086
2013-05-28,8263.05,8289.15,8303.71,8261.54,1990000.0,-0.0021
2013-05-29,8337.9,8303.2,8344.21,8303.2,2470000.0,0.0091
2013-05-30,8243.29,8316.97,8316.97,8228.8,2460000.0,-0.0113
2013-05-31,8254.8,8318.77,8334.44,8237.08,3590000.0,0.0014000000000000002
2013-06-03,8201.02,8177.97,8225.79,8149.45,2140000.0,-0.006500000000000001
2013-06-04,8191.22,8243.22,8250.17,8180.39,2190000.0,-0.0012
2013-06-05,8181.91,8195.52,8216.31,8161.1,2280000.0,-0.0011
